,English Sentences,Hindi Sentences,Word Count (English),Word Count (Hindi),Difference between Word Count (English) and Word Count (Hindi)
13,"Meanwhile, three people came there on a bike. ",इसी बीच एक बाइक पर तीन लोग आते दिखाई दिए। ,46,42,4
18,Share videos ,वीडियो क्लिप शेयर किए ,13,22,-9
23,"""They are not seen anywhere. ",दोनों ही कहीं भी दिखाई नहीं पड़ रहे। ,29,36,-7
27,Both are safe and healthy. ,सभी सुरक्षित और खतरे से बाहर हैं। ,27,34,-7
34,Im fine by the grace of God. ,ईश्वर की कृपा से मैं बिल्कुल ठीक हूं. ,29,38,-9
35,But its still a long way to go. ,लेकिन वापस जाने को अभी लंबा अंतराल है। ,32,39,-7
36,Hockey: India to face Belgium in test series ,हॉकी टेस्ट : भारत ने अर्जेटीना को बराबरी पर रोका ,45,49,-4
38,"""The FIR Exhibit Ka-19 ",एफआईआर प्रदर्शनी के -19 ,23,24,-1
40,This caused panic among consumers. ,इस कारण उपभोक्ताओं के बीच हंगामा मच गया था। ,35,44,-9
55,"""The bench rejected the petition. ",एकलपीठ ने याचिका खारिज कर दी। ,34,30,4
58,I had never been away from the game for so long. ,मैं कभी इतने लंबे समय तक खेल से दूर नहीं रहा। ,49,46,3
59,I must go. ,मुझे जाना चाहिए. ,11,17,-6
61,Artists are the moral conscience of society. ,कलाकार किसी समाज का नैतिक विवेक होते हैं. ,45,42,3
62,People are sad and angry. ,इससे लोग दुखी व हताश है। ,26,25,1
63,Lets look at some statistics. ,"आइए, कुछ आंकड़े देखते हैं। ",30,26,4
69,"In fact, India with... ","दरअसल, भारतीय . पढ़ें ",23,22,1
75,MeToo in India the ugliness has shaken me up. ,Metoo आंदोलन भारत में सनसनी की तरह फैल रहा है। ,46,47,-1
77,Everything for Germany. ,जर्मनी के लिए सब कुछ.. ,24,23,1
79,Why do they do that? she asked. ,उन्होंने पूछा कि ऐसा क्यों कर रहे हैं। ,32,39,-7
81,"However, he didnt rule out the possibility. ",हालांकि उन्होंने संभावनाओं को खारिज भी नहीं किया। ,44,50,-6
